id;libelle;date_control_continu_1;date_control_continu_2
1;New York tangible Mississippi;2020-10-20T13:33:38;2020-10-20T19:52:50
2;bus synthesize Idaho;2020-10-20T04:14:52;2020-10-20T16:36:18
3;Sleek Metal Table Small;2020-10-20T12:12:24;2020-10-20T20:09:41
4;Outdoors;2020-10-20T07:28:37;2020-10-20T11:20:31
5;Montana;2020-10-20T06:03:30;2020-10-20T00:58:10
6;Phased;2020-10-20T12:54:06;2020-10-20T09:47:41
7;white Brand Money Market Account;2020-10-20T06:04:34;2020-10-20T18:52:53
8;Web virtual deposit;2020-10-20T01:50:09;2020-10-20T11:47:38
9;mint green e-business EXE;2020-10-20T14:57:59;2020-10-20T03:22:20
10;National;2020-10-20T15:07:07;2020-10-20T00:59:13
