id;nomfiliere;responsable;accreditaion;programme
1;grey Investment Account;calculating Customer-focused;interface Investor Tuna;MASTER_EXECUTIF
2;Shirt SDD;communities Refined;Pike Borders;MASTER
3;envisioneer Coordinator;SMTP;matrices;MASTER
4;Team-oriented;initiatives;Jordan;MASTER
5;Persevering Personal Loan Account;De-engineered strategic integrate;array payment;MASTER_EXECUTIF
6;Utah COM;Botswana;zero defect;MASTER
7;Program;deposit;Estate;LICENCE
8;Shirt Architect Developer;Automotive;invoice;MASTER_EXECUTIF
9;Tugrik Wooden;Plastic;capacitor;MASTER_EXECUTIF
10;Officer;feed;communities;LICENCE
