id;semestre;descriptif;observations;date;debut_creneau;fin_creneau;duree
1;S6;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T19:57:29;2020-10-20T09:47:50;2020-10-20T03:07:56;62795
2;S5;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T05:26:13;2020-10-20T03:24:32;2020-10-20T19:21:37;79003
3;S5;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T20:48:31;2020-10-20T15:00:37;2020-10-20T13:04:46;2289
4;S3;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T17:23:03;2020-10-20T14:26:40;2020-10-19T23:46:31;97561
5;S2;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T19:34:13;2020-10-20T11:14:47;2020-10-20T02:03:46;31372
6;S2;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T02:50:49;2020-10-20T18:33:17;2020-10-20T15:07:48;50256
7;S6;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T21:06:53;2020-10-20T11:16:24;2020-10-20T22:07:53;50610
8;S4;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T20:49:54;2020-10-20T09:33:44;2020-10-20T04:06:35;96582
9;S6;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T15:16:02;2020-10-20T00:16:35;2020-10-20T10:36:13;87610
10;S2;../data/blob/hipster.txt;../data/blob/hipster.txt;2020-10-20T22:44:34;2020-10-20T17:33:57;2020-10-20T22:19:35;61958
