id;libelle;date_control_continu_1;date_control_continu_2
1;Granite Illinois;2020-11-06T23:10:24;2020-11-07T03:33:40
2;Prairie;2020-11-07T01:13:18;2020-11-06T23:12:54
3;Buckinghamshire Toys Rubber;2020-11-06T21:35:11;2020-11-07T14:52:34
4;revolutionize Cotton;2020-11-07T19:55:19;2020-11-07T17:12:35
5;synergy applications conglomeration;2020-11-07T06:28:02;2020-11-07T01:27:09
6;networks;2020-11-07T18:50:43;2020-11-07T10:47:19
7;clicks-and-mortar strategize turquoise;2020-11-07T13:27:53;2020-11-07T02:06:43
8;redefine;2020-11-07T03:53:43;2020-11-07T07:40:39
9;Swiss Franc alarm Personal Loan Account;2020-11-07T16:11:33;2020-11-07T07:24:04
10;compressing;2020-11-07T18:26:33;2020-11-07T19:15:41
