id;titre;data;data_content_type;type_document
1;invoice infomediaries;../fake-data/blob/hipster.png;image/png;LICENCE
2;Palau viral;../fake-data/blob/hipster.png;image/png;MASTER
3;engage generate Chicken;../fake-data/blob/hipster.png;image/png;MASTER_EXECUTIF
4;transmit hacking;../fake-data/blob/hipster.png;image/png;MASTER
5;Down-sized fault-tolerant Rustic;../fake-data/blob/hipster.png;image/png;MASTER
6;AGP Cambridgeshire payment;../fake-data/blob/hipster.png;image/png;MASTER
7;Cheese;../fake-data/blob/hipster.png;image/png;PROFESSEUR
8;Tools adapter bi-directional;../fake-data/blob/hipster.png;image/png;MASTER
9;Uzbekistan turn-key;../fake-data/blob/hipster.png;image/png;PROFESSEUR
10;Guyana array microchip;../fake-data/blob/hipster.png;image/png;MASTER_EXECUTIF
