id;emploie_du_temps;emploie_du_temps_content_type;programme
1;../fake-data/blob/hipster.png;image/png;LICENCE
2;../fake-data/blob/hipster.png;image/png;LICENCE
3;../fake-data/blob/hipster.png;image/png;MASTER
4;../fake-data/blob/hipster.png;image/png;LICENCE
5;../fake-data/blob/hipster.png;image/png;MASTER
6;../fake-data/blob/hipster.png;image/png;MASTER_EXECUTIF
7;../fake-data/blob/hipster.png;image/png;MASTER
8;../fake-data/blob/hipster.png;image/png;MASTER_EXECUTIF
9;../fake-data/blob/hipster.png;image/png;MASTER_EXECUTIF
10;../fake-data/blob/hipster.png;image/png;LICENCE
