id;nom_ecole;adresse;rc;ice;tp;identite_fiche;logo;logo_content_type
1;support Mouse Metal;virtual compressing Virginia;Bedfordshire;Technician redundant;Maryland;portal;../fake-data/blob/hipster.png;image/png
2;Wooden Customer Pizza;1080p Brand connecting;empower relationships;Manager orange Officer;Kiribati Lesotho Bedfordshire;haptic;../fake-data/blob/hipster.png;image/png
3;Glens bricks-and-clicks IB;Fresh;Valley virtual Rustic;Metal;Checking Account Chips;Sierra Leone driver;../fake-data/blob/hipster.png;image/png
4;programming;calculating;synthesizing;Investor;cross-platform;Soap protocol;../fake-data/blob/hipster.png;image/png
5;sensor;visualize intermediate;Human payment Intelligent Steel Table;Rubber;Administrator optical;Berkshire Nevada;../fake-data/blob/hipster.png;image/png
6;Gloves ability;Cotton Small Cotton Chips;Plastic Money Market Account;integrated matrix metrics;Officer B2B;bandwidth;../fake-data/blob/hipster.png;image/png
7;Bedfordshire;Palladium Bedfordshire;Incredible;Gorgeous;Zimbabwe 1080p;deposit;../fake-data/blob/hipster.png;image/png
8;Assurance Iowa Ball;Bouvet Island (Bouvetoya) Small Steel Ball Michigan;Representative;e-services;extensible Keyboard programming;Cheese;../fake-data/blob/hipster.png;image/png
9;clicks-and-mortar;Fresh;metrics Operations;British Indian Ocean Territory (Chagos Archipelago) withdrawal;visualize Assistant motivating;Plains application;../fake-data/blob/hipster.png;image/png
10;Cotton multi-state Utah;Money Market Account bypass streamline;Loaf;Business-focused Rwanda Franc Curve;Incredible Metal Keyboard Markets;deposit;../fake-data/blob/hipster.png;image/png
