id;nomfiliere;responsable;accreditaion;programme
1;JSON EXE optimizing;calculating;Orchestrator;LICENCE
2;real-time Electronics Unbranded Rubber Computer;payment Designer;Personal Loan Account navigate Rand Namibia Dollar;MASTER
3;New Mexico calculating;experiences customized;International virtual;LICENCE
4;port Officer calculating;Tasty Granite Chicken optimize;Minnesota Freeway best-of-breed;LICENCE
5;Dam;capacitor Avon;Plastic;MASTER_EXECUTIF
6;Operations;Texas Assurance Buckinghamshire;Cotton target;MASTER_EXECUTIF
7;bluetooth;Awesome Guyana ROI;Lodge RSS;MASTER
8;feed Consultant Intuitive;bypassing Generic Cotton Computer payment;Washington;LICENCE
9;bypass;International;Kentucky;MASTER
10;Creative Plastic generate;Tajikistan expedite purple;deliverables Creative Health;MASTER_EXECUTIF
