id;modalite;cout_programmettc;cout_programmettc_devise;remise_niveau_1;remise_niveau_2;devise
1;maroon proactive Sports;85600;83127;90921;3134;USD
2;streamline;48647;39173;38316;67285;MAD
3;connect Chilean Peso Unidades de fomento;39451;21096;31305;45261;MAD
4;haptic Licensed Plastic Shoes override;82376;18650;83287;17747;USD
5;orchid Islands;45609;36728;86982;39867;MAD
6;Clothing Direct;18319;91489;31938;36559;MAD
7;Producer Coordinator;64820;32603;72177;70537;USD
8;fuchsia invoice;99172;7878;32947;40393;USD
9;SAS Small Steel Soap intuitive;76700;75646;97388;83452;MAD
10;approach Tuna Guadeloupe;81704;43236;72770;96318;MAD
