id;semestre;descriptif;observations;date;debut_creneau;fin_creneau;duree
1;S2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07T02:00:34;2020-11-07T09:57:40;2020-11-06T21:18:51;75811
2;S4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07T06:33:34;2020-11-07T19:04:51;2020-11-07T12:03:28;52535
3;S1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07T10:18:19;2020-11-07T14:51:09;2020-11-07T17:12:08;79022
4;S2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07T07:48:32;2020-11-07T01:09:21;2020-11-07T19:37:38;41202
5;S3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-06T23:34:19;2020-11-07T05:55:38;2020-11-07T12:12:44;88087
6;S4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07T05:13:33;2020-11-07T02:19:09;2020-11-07T18:40:52;44153
7;S6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-06T21:45:10;2020-11-07T21:04:55;2020-11-07T08:12:38;96898
8;S4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07T15:12:34;2020-11-06T22:36:37;2020-11-07T14:07:11;85486
9;S6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07T19:25:38;2020-11-07T11:29:05;2020-11-07T06:58:46;60611
10;S1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-11-07T11:09:47;2020-11-07T12:58:04;2020-11-07T18:22:59;39662
